ct,ca,tiempo,tiempo_c

2, 100, 1.01724, 0.45615
4, 100, 0.78147, 0.391991
16, 100, 0.805703, 0.402585
32, 100, 0.774954, 0.39515
64, 100, 0.836798, 0.412691
2, 100, 0.832934, 0.446512
4, 100, 0.867153, 0.457937
16, 100, 0.872483, 0.42256
32, 100, 0.862211, 0.418169
64, 100, 0.786377, 0.39863
2, 100, 0.825221, 0.456405
4, 100, 0.784608, 0.389789
16, 100, 0.849058, 0.406409
32, 100, 0.792513, 0.40609
64, 100, 0.78546, 0.40203
2, 100, 1.01226, 0.544384
4, 100, 0.792707, 0.390572
16, 100, 0.806102, 0.391953
32, 100, 0.847791, 0.412895
64, 100, 0.824249, 0.396272
2, 100, 1.02665, 0.46063
4, 100, 0.851823, 0.4138
16, 100, 0.873651, 0.460631
32, 100, 0.862133, 0.459014
64, 100, 0.801216, 0.44574
2, 100, 0.881612, 0.441112
4, 100, 0.801685, 0.397984
16, 100, 0.808593, 0.38735
32, 100, 0.796004, 0.465402
64, 100, 0.794859, 0.384769
2, 100, 1.00315, 0.631333
4, 100, 0.77627, 0.385015
16, 100, 0.825167, 0.395731
32, 100, 0.792079, 0.402003
64, 100, 0.820739, 0.385503
2, 100, 0.958629, 0.453769
4, 100, 0.784851, 0.385616
16, 100, 0.795689, 0.388165
32, 100, 0.794163, 0.403038
64, 100, 0.823303, 0.394183
2, 100, 1.03904, 0.467531
4, 100, 0.780694, 0.387041
16, 100, 0.786237, 0.389699
32, 100, 0.793625, 0.401622
64, 100, 0.824224, 0.396625
2, 100, 1.01998, 0.448556
4, 100, 0.792822, 0.392282
16, 100, 0.782813, 0.395079
32, 100, 0.808011, 0.404957
64, 100, 0.826629, 0.389332
2, 100, 1.04617, 0.465293
4, 100, 0.79485, 0.387442
16, 100, 0.816827, 0.404158
32, 100, 0.803739, 0.449678
64, 100, 0.868748, 0.529439
2, 100, 0.818223, 0.604467
4, 100, 0.83438, 0.389379
16, 100, 0.829453, 0.412737
32, 100, 0.848448, 0.410382
64, 100, 0.815521, 0.400914
2, 1000, 8.66442, 5.86498
4, 1000, 8.56142, 4.44974
16, 1000, 9.08199, 5.32276
32, 1000, 9.61843, 5.4763
64, 1000, 9.31558, 4.28254
2, 100, 1.04037, 0.453601
4, 100, 0.799287, 0.404837
16, 100, 0.817571, 0.398249
32, 100, 0.77576, 0.411329
64, 100, 0.818464, 0.388608
2, 100, 1.00854, 0.550378
4, 100, 0.785498, 0.391262
16, 100, 0.79889, 0.39687
32, 100, 0.774052, 0.41197
64, 100, 0.788499, 0.388252
2, 100, 0.824017, 0.58129
4, 100, 0.891516, 0.462587
16, 100, 0.929122, 0.476315
32, 100, 0.855749, 0.473332
64, 100, 0.950009, 0.399337
2, 100, 1.01607, 0.443825
4, 100, 0.786959, 0.38737
16, 100, 0.806873, 0.396681
32, 100, 0.792718, 0.392779
64, 100, 0.775492, 0.390686
2, 100, 1.06123, 0.46829
4, 100, 0.785406, 0.383698
16, 100, 0.810194, 0.394891
32, 100, 0.767385, 0.404672
64, 100, 0.81292, 0.397512
2, 100, 0.810349, 0.453761
4, 100, 0.79868, 0.39418
16, 100, 0.808603, 0.395092
32, 100, 0.796869, 0.403778
64, 100, 0.81383, 0.378565
2, 100, 1.07122, 0.468018
4, 100, 0.774188, 0.37953
16, 100, 0.781341, 0.395708
32, 100, 0.778646, 0.414105
64, 100, 0.808267, 0.407619
